"About the data: Analytical views - Source Title - Exported on Oct 25, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Research Organization is Iowa State University; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,
ID,Name,Rank FF,FF Publications,Rank All,All Publications,Rank %,Percentage,All OA,Bronze,Closed,Gold,Green,Hybrid,sum,delta,% OSTP Bronze,% OSTP Closed,% OSTP Gold,% OSTP Green,% OSTP Hybrid
jour.1031548,The Journal of Physical Chemistry B,104,12,159,14,85,85.71428571,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1033312,Sensors,104,12,68,28,299,42.85714286,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1039309,Scripta Materialia,104,12,159,14,85,85.71428571,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1044868,Materials,104,12,72,26,281,46.15384615,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1077143,Journal of Dairy Science,104,12,20,57,344,21.05263158,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1100063,Biosensors and Bioelectronics,104,12,172,13,46,92.30769231,0,0,0,0,0,0,0,-12,0,0,0,0,0
jour.1017742,Journal of Forensic Sciences,111,11,130,16,178,68.75,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1022968,Monthly Notices of the Royal Astronomical Society,111,11,111,18,208,61.11111111,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1031000,Field Crops Research,111,11,118,17,194,64.70588235,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1043112,The Journal of Physical Chemistry Letters,111,11,196,12,47,91.66666667,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1044002,Journal of Cleaner Production,111,11,62,30,315,36.66666667,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1126508,Langmuir,111,11,172,13,97,84.61538462,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1134206,"Journal of Agricultural, Biological and Environmental Statistics",111,11,159,14,132,78.57142857,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1136887,PeerJ,111,11,146,15,158,73.33333333,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1137110,Journal of Wind Engineering and Industrial Aerodynamics,111,11,172,13,97,84.61538462,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1137684,Weather and Forecasting,111,11,216,11,1,100,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1299734,Plant Direct,111,11,196,12,47,91.66666667,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1312290,Physical Review E,111,11,172,13,97,84.61538462,0,0,0,0,0,0,0,-11,0,0,0,0,0
jour.1008072,Journal of Virology,123,10,118,17,218,58.82352941,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1014139,Genetics Selection Evolution,123,10,79,24,301,41.66666667,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1015489,Forensic Science International,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1018818,Review of Scientific Instruments,123,10,243,10,1,100,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1019991,IEEE Transactions on Instrumentation and Measurement,123,10,111,18,238,55.55555556,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1021332,Organic Letters,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1028874,International Journal of Molecular Sciences,123,10,146,15,181,66.66666667,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1029519,Applied Energy,123,10,130,16,200,62.5,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1033235,Plant Biotechnology Journal,123,10,130,16,200,62.5,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1033500,IEEE Transactions on Automatic Control,123,10,243,10,1,100,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1036821,The Plant Genome,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1040949,Statistical Analysis and Data Mining The ASA Data Science Journal,123,10,159,14,167,71.42857143,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1041790,Computer Methods in Applied Mechanics and Engineering,123,10,196,12,102,83.33333333,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1042541,JOM,123,10,159,14,167,71.42857143,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1043911,Discrete Mathematics,123,10,94,21,273,47.61904762,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1045551,Ecology and Evolution,123,10,159,14,167,71.42857143,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1047660,Ecosphere,123,10,146,15,181,66.66666667,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1047721,Journal of Materials Chemistry A,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1048491,Renewable Energy,123,10,146,15,181,66.66666667,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1076998,Talanta,123,10,216,11,49,90.90909091,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1077139,Journal of Chemical Education,123,10,40,40,334,25,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1101334,Molecular Plant-Microbe Interactions,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1129018,Advanced Materials,123,10,111,18,238,55.55555556,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1137600,International Journal of Plasticity,123,10,216,11,49,90.90909091,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1157000,ACS Omega,123,10,146,15,181,66.66666667,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1312241,Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,123,10,172,13,140,76.92307692,0,0,0,0,0,0,0,-10,0,0,0,0,0
jour.1009619,Journal of the American Statistical Association,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1017521,Evolution,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1023439,Genome Biology,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1023501,ACS Symposium Series,149,9,72,26,324,34.61538462,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1023786,BMC Bioinformatics,149,9,196,12,151,75,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1026135,IEEE Transactions on Magnetics,149,9,88,22,303,40.90909091,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1029510,Agriculture Ecosystems & Environment,149,9,118,17,252,52.94117647,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1029977,Lab on a Chip,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1033314,Journal of Mechanical Design,149,9,146,15,211,60,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1035490,BMC Veterinary Research,149,9,76,25,320,36,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1044370,Chemical Science,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1045304,Building and Environment,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1045931,Remote Sensing of Environment,149,9,130,16,235,56.25,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1046291,International Journal for Parasitology Drugs and Drug Resistance,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1046517,eLife,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1052073,Advanced Optical Materials,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1053349,Physical Review A,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1053404,mSystems,149,9,216,11,107,81.81818182,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1094724,Vaccine,149,9,130,16,235,56.25,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1097753,Child & Youth Care Forum,149,9,118,17,252,52.94117647,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1120809,International Journal of Multiphase Flow,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1121212,IEEE Transactions on Signal Processing,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1125125,Organometallics,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1126163,Journal of Scientific Computing,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1131466,Powder Technology,149,9,111,18,258,50,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1135804,Theoretical and Applied Genetics,149,9,79,24,310,37.5,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1137748,Environmental Research Letters,149,9,172,13,177,69.23076923,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1159154,Agricultural and Environmental Letters,149,9,273,9,1,100,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1285194,npj Computational Materials,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1356686,mSphere,149,9,243,10,52,90,0,0,0,0,0,0,0,-9,0,0,0,0,0
jour.1007902,Virology,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1007934,Plant Disease,179,8,11,88,352,9.090909091,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1012116,Environmental Science and Technology,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1014820,Veterinary Pathology,179,8,97,20,304,40,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1023032,Plant Science,179,8,196,12,181,66.66666667,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1026101,Agricultural Systems,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1033068,IEEE/ACM Transactions on Computational Biology and Bioinformatics,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1034963,PLOS Pathogens,179,8,196,12,181,66.66666667,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1035309,Plant Methods,179,8,273,9,59,88.88888889,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1038900,Journal of Visualized Experiments,179,8,196,12,181,66.66666667,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1044080,Methods in Ecology and Evolution,179,8,273,9,59,88.88888889,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1046042,Insects,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1047670,Plants,179,8,196,12,181,66.66666667,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1051517,Science Advances,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1051634,Data in Brief,179,8,196,12,181,66.66666667,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1052744,Agronomy,179,8,88,22,317,36.36363636,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1081694,Environmental Entomology,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1081849,JAWRA Journal of the American Water Resources Association,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1097816,Journal of Family Psychology,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1103138,Nature Genetics,179,8,273,9,59,88.88888889,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1119251,Metabolic Engineering,179,8,299,8,1,100,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1126745,Journal of Geophysical Research: Atmospheres,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1126746,Journal of Hydrology,179,8,216,11,160,72.72727273,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1136292,Metallurgical and Materials Transactions A,179,8,273,9,59,88.88888889,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1137261,North American Journal of Fisheries Management,179,8,111,18,291,44.44444444,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1154197,International Journal of Pavement Research and Technology,179,8,118,17,275,47.05882353,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1284474,Nature Ecology & Evolution,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1312220,The Journals of Gerontology Series B,179,8,273,9,59,88.88888889,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1319923,Physics of Fluids,179,8,118,17,275,47.05882353,0,0,0,0,0,0,0,-8,0,0,0,0,0
jour.1320076,ChemCatChem,179,8,243,10,120,80,0,0,0,0,0,0,0,-8,0,0,0,0,0
