"About the data: Analytical views - Publisher - Exported on Oct 25, 2022. Criteria: My groups is US YES federal funders; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021; Country of Funder is United States; Research Organization is Iowa State University; Publication Type is not Preprint. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,
Name,Rank FF,FF Publications,Rank All,All Publications,Rank %,Percentage,All OA,Bronze,Closed,Gold,Green,Hybrid,Sum,Delta,% OSTP Bronze,% OSTP Closed,% OSTP Gold,% OSTP Green,% OSTP Hybrid
Pensoft Publishers,99,1,85,4,109,25,0,0,0,0,0,0,0,-1,0,0,0,0,0
Pleiades Publishing,99,1,65,8,128,12.5,0,0,0,0,0,0,0,-1,0,0,0,0,0
Sciaccess Publishers LLC,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Society for Neuroscience,99,1,104,2,71,50,0,0,0,0,0,0,0,-1,0,0,0,0,0
Society of Rheology,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Statistica Sinica (Institute of Statistical Science),99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Stichting SciPost,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
The American Mosquito Control Association,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
The Korean Association of Immunobiologists,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Ubiquity Press,99,1,85,4,109,25,0,0,0,0,0,0,0,-1,0,0,0,0,0
University of California Press,99,1,67,7,126,14.28571429,0,0,0,0,0,0,0,-1,0,0,0,0,0
Waterbird Society,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
Western Journal of Emergency Medicine,99,1,118,1,1,100,0,0,0,0,0,0,0,-1,0,0,0,0,0
